MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error
248477000,2020-01-01 00:00:08,18.50853,-64.38772,0.3,276.2,54.0,0.0,,0.0,0.0,,0.0,18.50853,-64.38772,0.0
248723000,2020-01-01 00:00:12,18.72285,-64.40882,0.0,20.1,511.0,0.0,,0.0,0.0,,0.0,18.72285,-64.40882,0.0
248951000,2020-01-01 00:00:03,33.68216,-118.20249,9.3,198.7,201.0,0.0,,0.0,0.0,,0.0,33.68216,-118.20249,0.0
248993000,2020-01-01 00:00:08,29.22768,-94.4676,3.8,345.0,343.0,0.0,,0.0,0.0,,0.0,29.22768,-94.4676,0.0
249007000,2020-01-01 00:00:09,28.62144,-95.31842,12.9,57.1,56.0,0.0,,0.0,0.0,,0.0,28.62144,-95.31842,0.0
249048000,2020-01-01 00:00:11,24.32257,-81.97571,10.3,235.7,238.0,0.0,,0.0,0.0,,0.0,24.32257,-81.97571,0.0
249207000,2020-01-01 00:00:06,34.26027,-77.94805,0.0,0.0,5.0,0.0,,0.0,0.0,,0.0,34.26027,-77.94805,0.0
249345000,2020-01-01 00:00:05,27.82147,-97.43213,2.5,119.7,125.0,0.0,,0.0,0.0,,0.0,27.82147,-97.43213,0.0
249779000,2020-01-01 00:00:43,18.43011,-66.11008,0.0,215.1,182.0,0.0,,0.0,0.0,,0.0,18.43011,-66.11008,0.0
249974000,2020-01-01 00:00:06,29.34368,-94.74366,10.2,85.7,86.0,0.0,,0.0,0.0,,0.0,29.34368,-94.74366,0.0
255805867,2020-01-01 00:00:09,33.75394,-118.23374,0.0,10.9,250.0,0.0,,0.0,0.0,,0.0,33.75394,-118.23374,0.0
255806038,2020-01-01 00:00:07,32.57167,-78.75742,9.6,238.2,240.0,0.0,,0.0,0.0,,0.0,32.57167,-78.75742,0.0
255806153,2020-01-01 00:00:00,26.62533,-79.655,12.0,111.0,120.0,0.0,,0.0,0.0,,0.0,26.62533,-79.655,0.0
256173000,2020-01-01 00:00:14,29.9638,-90.39439,8.8,357.6,357.0,0.0,,0.0,0.0,,0.0,29.9638,-90.39439,0.0
256186000,2020-01-01 00:00:02,38.05695,-122.26087,0.0,215.0,257.0,0.0,,0.0,0.0,,0.0,38.05695,-122.26087,0.0
256186000,2020-01-01 00:01:13,38.05695,-122.26087,0.0,215.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05695,-122.26087,0.0
256213000,2020-01-01 00:00:02,36.47712,-137.16365,18.6,90.7,93.0,0.0,,0.0,0.0,,0.0,36.47712,-137.16365,0.0
256289000,2020-01-01 00:00:13,25.25676,-90.06681,11.3,321.0,326.0,0.0,,0.0,0.0,,0.0,25.25676,-90.06681,0.0
256289000,2020-01-01 00:01:23,25.25971,-90.0694,11.5,321.0,325.0,5.983655239460578,0.08548078913515111,-1.0,2.991827619730289,0.08548078913515111,-0.5,25.25971,-90.0694,0.0
256838000,2020-01-01 00:00:20,29.2578,-94.49748,0.0,229.0,159.0,0.0,,0.0,0.0,,0.0,29.2578,-94.49748,0.0
